layer,pair_id,language,pc1,pc2
1,0,English,3.4828457832336426,-2.4843146800994873
1,0,French,-1.927051305770874,-1.091781735420227
1,1,English,2.79508376121521,0.3911115527153015
1,1,French,-3.1281898021698,2.0157670974731445
1,2,English,3.2594780921936035,-0.6997482776641846
1,2,French,-5.9733405113220215,-3.2176871299743652
1,3,English,2.3196122646331787,0.9907528162002563
1,3,French,-1.8379877805709839,2.3366100788116455
1,4,English,3.121047019958496,2.3300578594207764
1,4,French,-3.49048113822937,3.392249584197998
1,5,English,3.507289171218872,-2.957185745239258
1,5,French,-2.2646758556365967,-2.9689865112304688
1,6,English,2.2965779304504395,2.8541934490203857
1,6,French,-1.9152921438217163,3.3024797439575195
1,7,English,3.5132014751434326,1.2500576972961426
1,7,French,-3.597463846206665,2.0868117809295654
1,8,English,2.10304594039917,-4.484366416931152
1,8,French,-2.325385808944702,-5.305450916290283
1,9,English,2.8624517917633057,0.3945866823196411
1,9,French,0.5396395325660706,0.8029319047927856
1,10,English,3.363701343536377,1.4733654260635376
1,10,French,-3.9084553718566895,-1.7342116832733154
1,11,English,3.040682077407837,1.3862073421478271
1,11,French,-4.051155090332031,-0.9386335611343384
1,12,English,2.0934464931488037,-2.35034441947937
1,12,French,-2.258875846862793,-1.3730251789093018
1,13,English,2.737119436264038,-1.4031821489334106
1,13,French,-0.6286280751228333,-1.7699403762817383
1,14,English,3.322913885116577,2.0277092456817627
1,14,French,-1.0690933465957642,2.460597038269043
1,15,English,3.0511648654937744,2.5175981521606445
1,15,French,-1.5112677812576294,2.7362914085388184
1,16,English,3.5972328186035156,0.4717312157154083
1,16,French,-3.304797887802124,1.757081151008606
1,17,English,3.460416555404663,-0.03316543623805046
1,17,French,-2.3089354038238525,-0.2880147099494934
1,18,English,3.524592161178589,-0.935702383518219
1,18,French,-0.45942145586013794,-2.3250205516815186
1,19,English,3.206810712814331,2.1111974716186523
1,19,French,-2.7442409992218018,3.450730562210083
1,20,English,2.4619815349578857,-0.36971521377563477
1,20,French,-3.956954002380371,-2.5393664836883545
1,21,English,3.2713236808776855,0.9843681454658508
1,21,French,-4.205087184906006,0.89369797706604
1,22,English,3.550865888595581,-2.4490878582000732
1,22,French,-2.4475350379943848,-4.070922374725342
